year,winner_name,loser_name
2005,Carlos Moya,Julian Knowle
2005,Ivo Heuberger,Prakash Amritraj
2005,Paul Henri Mathieu,Janko Tipsarevic
2005,Kenneth Carlsen,Noam Okun
2005,Olivier Patience,Rainer Schuettler
2005,Michal Tabara,Jiri Vanek
2005,Guillermo Garcia Lopez,Dennis Van Scheppingen
2005,Adrian Garcia,Gregory Carraz
2005,Kevin Kim,Harsh Mankad
2005,Tomas Zib,Lars Burgsmuller
2005,Justin Gimelstob,Jan Michael Gambill
2005,Jonas Bjorkman,Karan Rastogi
2005,Yen Hsun Lu,Leander Paes
2005,Kristof Vliegen,Santiago Ventura
2005,Nicolas Devilder,Marcos Baghdatis
2005,Paradorn Srichaphan,Christophe Rochus
2005,Carlos Moya,Ivo Heuberger
2005,Paul Henri Mathieu,Kenneth Carlsen
2005,Michal Tabara,Olivier Patience
2005,Guillermo Garcia Lopez,Adrian Garcia
2005,Tomas Zib,Kevin Kim
2005,Justin Gimelstob,Jonas Bjorkman
2005,Kristof Vliegen,Yen Hsun Lu
2005,Paradorn Srichaphan,Nicolas Devilder
2005,Carlos Moya,Paul Henri Mathieu
2005,Guillermo Garcia Lopez,Michal Tabara
2005,Tomas Zib,Justin Gimelstob
2005,Paradorn Srichaphan,Kristof Vliegen
2005,Carlos Moya,Guillermo Garcia Lopez
2005,Paradorn Srichaphan,Tomas Zib
2005,Carlos Moya,Paradorn Srichaphan
2005,Mariano Puerta,Go Soeda
2005,Wayne Arthurs,Juan Pablo Brzezicki
2005,Rainer Schuettler,Simon Greul
2005,Wesley Moodie,Philipp Kohlschreiber
2005,Jonas Bjorkman,Kenneth Carlsen
2005,Cecil Mamiit,Aljoscha Thron
2005,Alexander Waske,Raemon Sluiter
2005,Lars Burgsmuller,Kristian Pless
2005,Juan Monaco,Sasa Tuksar
2005,Yen Hsun Lu,Antony Dupuis
2005,Uros Vico,Janko Tipsarevic
2005,Radek Stepanek,Hyung Taik Lee
2005,Cyril Saulnier,Peter Wessels
2005,Jiri Vanek,Prakash Amritraj
2005,Bjorn Phau,Minh Quan Do
2005,Thomas Johansson,Alexander Popp
2005,Mariano Puerta,Wayne Arthurs
2005,Rainer Schuettler,Wesley Moodie
2005,Jonas Bjorkman,Cecil Mamiit
2005,Alexander Waske,Lars Burgsmuller
2005,Juan Monaco,Yen Hsun Lu
2005,Radek Stepanek,Uros Vico
2005,Cyril Saulnier,Jiri Vanek
2005,Thomas Johansson,Bjorn Phau
2005,Mariano Puerta,Rainer Schuettler
2005,Jonas Bjorkman,Alexander Waske
2005,Radek Stepanek,Juan Monaco
2005,Thomas Johansson,Cyril Saulnier
2005,Jonas Bjorkman,Mariano Puerta
2005,Radek Stepanek,Thomas Johansson
2005,Jonas Bjorkman,Radek Stepanek
2005,Andy Roddick,Greg Rusedski
2005,Albert Costa,Albert Montanes
2005,Stanislas Wawrinka,Tomas Berdych
2005,Fernando Verdasco,Nikolay Davydenko
2005,Guillermo Coria,Fernando Gonzalez
2005,Nicolas Kiefer,Tommy Haas
2005,Davide Sanguinetti,Max Mirnyi
2005,Fabrice Santoro,David Nalbandian
2005,Tim Henman,Gustavo Kuerten
2005,Nicolas Massu,Paul Henri Mathieu
2005,Dominik Hrbaty,Ricardo Mello
2005,Julien Benneteau,Tommy Robredo
2005,Ivan Ljubicic,Olivier Rochus
2005,Sebastien Grosjean,Kenneth Carlsen
2005,Richard Gasquet,Paradorn Srichaphan
2005,Andre Agassi,Alessio Di Mauro
2005,Potito Starace,Carlos Moya
2005,Alberto Martin,Rainer Schuettler
2005,Luis Horna,Florian Mayer
2005,Andreas Seppi,Joachim Johansson
2005,Thomas Johansson,Feliciano Lopez
2005,David Ferrer,Cyril Saulnier
2005,Filippo Volandri,Younes El Aynaoui
2005,Gaston Gaudio,Karol Beck
2005,Rafael Nadal,Mikhail Youzhny
2005,Victor Hanescu,Jurgen Melzer
2005,Juan Monaco,Robin Soderling
2005,Guillermo Canas,Andrei Pavel
2005,Radek Stepanek,Mario Ancic
2005,Juan Ignacio Chela,Michael Llodra
2005,Nicolas Almagro,Igor Andreev
2005,Marat Safin,Jiri Novak
2005,Andy Roddick,Albert Costa
2005,Fernando Verdasco,Stanislas Wawrinka
2005,Guillermo Coria,Nicolas Kiefer
2005,Davide Sanguinetti,Fabrice Santoro
2005,Tim Henman,Nicolas Massu
2005,Dominik Hrbaty,Julien Benneteau
2005,Ivan Ljubicic,Sebastien Grosjean
2005,Andre Agassi,Richard Gasquet
2005,Alberto Martin,Potito Starace
